126.158,0.000551367,126.158,2.44917
160.165,0.000703378,160.165,2.29731
187.684,0.000826391,187.684,3.17442
215.59,0.000951128,215.59,11.0498
249.211,0.00110142,249.211,18.8997
253.528,0.378802,254.349,-4.27839
299.104,8.41533,297.953,14.945
335.028,14.7499,334.548,17.4706
372.771,21.4052,371.95,26.0605
409.966,27.9637,407.047,44.5147
447.082,34.5085,445.95,40.9273
483.055,40.8517,476.585,77.5422
521.588,47.6463,514.597,87.29
566.403,55.5487,559.159,96.6294
569.44,60.3151,627.646,75.9103
565.794,73.9231,629.317,90.9428
568.622,78.8221,560.312,109.835
578.555,81.4836,568.267,119.878
590.838,84.775,579.681,126.412
595.737,81.9466,600.368,83.1875
599.376,68.3661,613.163,72.0605
604.389,65.7565,589.384,106.983
638.514,78.177,620.864,126.668
678.918,92.8833,656.66,154.034
715.523,106.207,686.828,185.046
753.507,120.032,724.725,199.112
787.544,132.42,755.75,219.767
825.127,146.1,792.05,236.98
859.499,158.61,823.001,258.885
902.625,174.307,865.952,275.062
906.552,176.138,860.592,255.739
935.417,192.804,880.646,287.668
959.835,206.902,904.15,303.352
987.174,222.686,930.259,321.271
1013.12,237.665,948.759,349.148
83.907,1588.41,83.906,1588.44
101.356,1588.95,99.5186,1610.34
121.843,1590.71,118.707,1612.15
143.245,1593.84,135.375,1631.58
163.674,1598.1,150.184,1662.79
255.761,1412.99,257.043,1398.85
264.477,1413.78,243.344,1646.94
123.916,79.5281,32.1597,54.1093
120.223,92.859,112.75,67.2183
58.9575,110.715,99.6839,-110.181
90.6006,116.549,19.4717,-26.2197
109.438,107.164,74.554,37.1455
124.158,37.5005,82.158,37.5005
124.158,69.315,92.158,69.315
0,148.284,2,148.284
0,174.362,0,174.364
0,202.54,0,202.54
0,234.07,-2,234.07
-0.000915241,438.644,7.91433,438.644
-0.00116988,467.102,12.1687,467.102
-0.00144393,497.73,13.4425,497.73
-0.00168283,524.43,22.6812,524.43
-0.00259808,729.006,14.5955,729.006
-0.00259808,758.888,36.5955,758.888
-0.00259808,789.096,19.5955,789.096
-0.00259808,814.792,17.5955,814.792
-0.00351332,1019.37,3.51137,1019.37
0,1041.79,-1,1041.79
0,1079.11,3.99836,1079.11
-0.00428092,1105.15,-3.72336,1105.15
-0.00519617,1309.73,5.19097,1309.73
0,1338.38,5,1338.38
0,1371.82,7,1371.82
-0.00519617,1395.51,6.19097,1395.51
83.8142,1455.26,52.6142,1455.26
83.8142,1483.45,60.6142,1483.45
83.8142,1513.59,63.6142,1513.59
83.8142,1540.34,60.6142,1540.34
4.76312,242.32,49.4792,164.874
30.3284,257.081,72.5576,183.939
56.0352,271.923,99.4796,196.676
78.749,285.037,104.82,239.882
4.76223,532.682,42.5156,467.291
32.2378,548.545,69.6832,483.687
57.6231,563.201,92.3957,502.973
78.7473,575.397,107.872,524.952
4.76052,823.042,57.4677,731.75
30.3741,837.83,74.2608,761.822
56.1605,852.719,93.4673,788.102
78.7464,865.759,110.529,810.71
4.75964,1113.4,35.0045,1061.02
28.9694,1127.38,56.2689,1080.09
55.2635,1142.56,78.463,1102.39
78.7447,1156.12,103.895,1112.57
4.75793,1403.76,22.7756,1372.57
26.7915,1416.49,44.6557,1385.55
51.9257,1431,64.4087,1409.37
78.7439,1446.48,87.3471,1431.58
55.4691,110.759,0.0590066,14.7834
30.1164,125.396,-20.7527,37.2855
4.7636,140.033,-45.6243,52.7559
56.7697,400.368,14.4232,327.02
78.7482,387.679,42.0525,324.12
32.012,414.662,-6.24873,348.39
4.7623,430.394,-30.8236,368.755
52.705,693.075,11.9928,622.558
78.7469,678.04,36.5465,604.945
