flatness312,-254.158,7.504,7.361,0,0,1,0,0
flatness273,-154.157,57.501,6.756,0,0,1,0,0
flatness252,-204.16,57.501,6.892,0,0,1,0,0
flatness231,-254.158,57.503,7.078,0,0,1,0,0
flatness357,-304.167,57.505,7.279,0,0,1,0,0
flatness334,-354.161,57.506,7.511,0,0,1,0,0
flatness313,-404.161,57.504,7.719,0,0,1,0,0
flatness293,-454.162,57.504,7.931,0,0,1,0,0
flatness274,-504.159,57.501,8.136,0,0,1,0,0
flatness253,-154.157,107.501,6.594,0,0,1,0,0
flatness232,-204.158,107.502,6.717,0,0,1,0,0
flatness209,-254.166,107.503,6.857,0,0,1,0,0
flatness335,-304.162,107.503,7.016,0,0,1,0,0
flatness314,-354.171,107.503,7.204,0,0,1,0,0
flatness294,-404.162,107.502,7.423,0,0,1,0,0
flatness275,-454.16,107.503,7.621,0,0,1,0,0
flatness254,-504.162,107.504,7.827,0,0,1,0,0
flatness17,-554.161,107.502,8.026,0,0,1,0,0
flatness7,-604.17,107.502,8.209,0,0,1,0,0
flatness83,-654.163,107.503,8.379,0,0,1,0,0
flatness70,-704.161,107.502,8.496,0,0,1,0,0
flatness315,-4.161,157.502,6.365,0,0,1,0,0
flatness210,-54.159,157.503,6.382,0,0,1,0,0
flatness255,-104.158,157.502,6.382,0,0,1,0,0
flatness295,-154.158,157.502,6.476,0,0,1,0,0
flatness276,-204.164,157.502,6.555,0,0,1,0,0
flatness233,-254.16,157.501,6.688,0,0,1,0,0
flatness336,-304.168,157.504,6.817,0,0,1,0,0
flatness296,-354.16,157.502,6.957,0,0,1,0,0
flatness277,-404.162,157.503,7.131,0,0,1,0,0
flatness256,-454.16,157.503,7.324,0,0,1,0,0
flatness234,-504.158,157.503,7.527,0,0,1,0,0
flatness8,-554.161,157.502,7.728,0,0,1,0,0
flatness84,-604.161,157.503,7.908,0,0,1,0,0
flatness71,-654.162,157.504,8.092,0,0,1,0,0
flatness55,-704.16,157.503,8.254,0,0,1,0,0
flatness41,-754.158,157.504,8.395,0,0,1,0,0
flatness29,-804.157,157.501,8.475,0,0,1,0,0
flatness18,-854.158,157.501,8.523,0,0,1,0,0
flatness235,-4.162,207.503,6.41,0,0,1,0,0
flatness278,-54.159,207.503,6.369,0,0,1,0,0
flatness316,-104.164,207.503,6.345,0,0,1,0,0
flatness211,-154.159,207.503,6.397,0,0,1,0,0
flatness337,-204.168,207.502,6.438,0,0,1,0,0
flatness297,-254.159,207.502,6.537,0,0,1,0,0
flatness257,-304.161,207.503,6.657,0,0,1,0,0
flatness212,-354.162,207.503,6.772,0,0,1,0,0
flatness338,-404.159,207.503,6.903,0,0,1,0,0
flatness317,-454.168,207.501,7.055,0,0,1,0,0
flatness298,-504.16,207.506,7.228,0,0,1,0,0
flatness42,-554.162,207.502,7.428,0,0,1,0,0
flatness30,-604.162,207.502,7.604,0,0,1,0,0
flatness19,-654.161,207.504,7.781,0,0,1,0,0
flatness9,-704.16,207.503,7.958,0,0,1,0,0
flatness85,-754.158,207.502,8.078,0,0,1,0,0
flatness72,-804.158,207.503,8.239,0,0,1,0,0
flatness56,-854.159,207.502,8.312,0,0,1,0,0
flatness43,-904.161,207.502,8.351,0,0,1,0,0
flatness31,-954.161,207.501,8.36,0,0,1,0,0
flatness299,-54.158,257.503,6.412,0,0,1,0,0
flatness339,-104.162,257.503,6.358,0,0,1,0,0
flatness236,-154.159,257.503,6.352,0,0,1,0,0
flatness213,-204.159,257.502,6.38,0,0,1,0,0
flatness318,-254.159,257.503,6.427,0,0,1,0,0
flatness279,-304.159,257.502,6.516,0,0,1,0,0
flatness258,-354.169,257.503,6.613,0,0,1,0,0
flatness237,-404.17,257.502,6.728,0,0,1,0,0
flatness214,-454.167,257.503,6.851,0,0,1,0,0
flatness340,-504.159,257.503,6.974,0,0,1,0,0
flatness73,-554.161,257.504,7.137,0,0,1,0,0
flatness57,-604.161,257.503,7.312,0,0,1,0,0
flatness44,-654.169,257.503,7.49,0,0,1,0,0
flatness32,-704.161,257.503,7.649,0,0,1,0,0
flatness20,-754.158,257.503,7.809,0,0,1,0,0
flatness10,-804.158,257.503,7.935,0,0,1,0,0
flatness86,-854.16,257.502,8.023,0,0,1,0,0
flatness74,-904.163,257.504,8.089,0,0,1,0,0
flatness58,-954.16,257.504,8.113,0,0,1,0,0
flatness238,-104.155,307.503,6.386,0,0,1,0,0
flatness280,-154.158,307.503,6.366,0,0,1,0,0
flatness259,-204.157,307.504,6.349,0,0,1,0,0
flatness215,-254.168,307.504,6.375,0,0,1,0,0
flatness341,-304.16,307.503,6.409,0,0,1,0,0
flatness319,-354.165,307.504,6.493,0,0,1,0,0
flatness300,-404.159,307.502,6.564,0,0,1,0,0
flatness281,-454.16,307.502,6.692,0,0,1,0,0
flatness260,-504.159,307.502,6.782,0,0,1,0,0
flatness21,-554.171,307.502,6.904,0,0,1,0,0
flatness11,-604.169,307.503,7.037,0,0,1,0,0
flatness87,-654.167,307.502,7.197,0,0,1,0,0
flatness75,-704.16,307.502,7.368,0,0,1,0,0
flatness59,-754.158,307.503,7.505,0,0,1,0,0
flatness45,-804.162,307.503,7.615,0,0,1,0,0
flatness33,-854.159,307.502,7.705,0,0,1,0,0
flatness22,-904.166,307.504,7.771,0,0,1,0,0
flatness12,-954.16,307.502,7.807,0,0,1,0,0
flatness301,-104.159,357.502,6.429,0,0,1,0,0
flatness342,-154.165,357.502,6.379,0,0,1,0,0
flatness320,-204.16,357.503,6.358,0,0,1,0,0
flatness282,-254.162,357.504,6.352,0,0,1,0,0
flatness261,-304.16,357.503,6.364,0,0,1,0,0
flatness239,-354.159,357.502,6.412,0,0,1,0,0
flatness216,-404.158,357.503,6.45,0,0,1,0,0
flatness343,-454.16,357.502,6.542,0,0,1,0,0
flatness321,-504.169,357.503,6.624,0,0,1,0,0
flatness60,-554.169,357.503,6.732,0,0,1,0,0
flatness46,-604.16,357.502,6.828,0,0,1,0,0
flatness34,-654.162,357.503,6.943,0,0,1,0,0
flatness23,-704.16,357.503,7.083,0,0,1,0,0
flatness13,-754.157,357.502,7.23,0,0,1,0,0
flatness88,-804.167,357.503,7.328,0,0,1,0,0
flatness76,-854.161,357.504,7.386,0,0,1,0,0
flatness61,-904.169,357.502,7.438,0,0,1,0,0
flatness47,-954.158,357.502,7.47,0,0,1,0,0
flatness322,-54.154,407.503,6.509,0,0,1,0,0
flatness217,-104.159,407.503,6.458,0,0,1,0,0
flatness262,-154.16,407.502,6.4,0,0,1,0,0
flatness240,-204.16,407.502,6.376,0,0,1,0,0
flatness344,-254.162,407.504,6.35,0,0,1,0,0
flatness302,-304.159,407.502,6.358,0,0,1,0,0
flatness283,-354.159,407.503,6.357,0,0,1,0,0
flatness263,-404.16,407.502,6.396,0,0,1,0,0
flatness241,-454.161,407.503,6.423,0,0,1,0,0
flatness218,-504.163,407.503,6.504,0,0,1,0,0
flatness89,-554.16,407.502,6.569,0,0,1,0,0
flatness77,-604.162,407.502,6.674,0,0,1,0,0
flatness62,-654.159,407.504,6.75,0,0,1,0,0
flatness48,-704.162,407.502,6.847,0,0,1,0,0
flatness35,-754.159,407.503,6.959,0,0,1,0,0
flatness24,-804.161,407.503,7.052,0,0,1,0,0
flatness14,-854.162,407.503,7.116,0,0,1,0,0
flatness219,-4.158,457.503,6.651,0,0,1,0,0
flatness264,-54.162,457.502,6.549,0,0,1,0,0
flatness303,-104.159,457.502,6.473,0,0,1,0,0
flatness345,-154.16,457.502,6.423,0,0,1,0,0
flatness323,-204.158,457.502,6.383,0,0,1,0,0
flatness284,-254.159,457.502,6.371,0,0,1,0,0
flatness242,-304.169,457.503,6.356,0,0,1,0,0
flatness346,-354.161,457.503,6.357,0,0,1,0,0
flatness324,-404.161,457.503,6.362,0,0,1,0,0
flatness304,-454.162,457.503,6.364,0,0,1,0,0
