1,1,5,edge
2,6,14,edge
3,15,17,edge
4,18,20,edge
5,21,23,edge
6,24,32,edge
7,33,37,edge
8,38,46,edge
9,47,48,edge
10,49,51,edge
11,52,53,edge
12.01,54,56,edge
12.02,57,60,edge
12.03,61,64,edge
12.04,65,68,edge
12.05,69,72,edge
12.06,73,76,edge
12.07,77,80,edge
12.08,81,84,edge
12.09,85,88,edge
12.1,89,92,edge
12.11,93,96,edge
13.01,97,100,edge
13.02,101,104,edge
13.03,105,108,edge
13.04,109,112,edge
13.05,113,116,edge
14.01,117,120,edge
14.02,121,124,edge
14.03,125,128,edge
14.04,129,132,edge
14.05,133,136,edge
15.01,137,139,edge
15.02,140,143,edge
15.03,144,147,edge
15.04,148,151,edge
15.05,152,155,edge
15.06,156,159,edge
15.07,160,163,edge
15.08,164,167,edge
15.09,168,172,edge
15.1,173,176,edge
16.01,177,180,edge
16.02,181,184,edge
16.03,185,188,edge
16.04,189,192,edge
16.05,193,196,edge
16.06,197,200,edge
16.07,201,204,edge
16.08,205,208,edge
17,209,211,edge
18,212,227,corner
19,228,236,corner
20,237,246,corner
21,247,249,edge
